label,none,SERRF
Trimethylamine (TMA) (60.0 / 45.0),0.411695144465602,0.0344328372539744
Glycine (76.0 / 30.2),0.192867139044106,0.015632747598192
Trimethylamine-N-oxide (TMAO) (76.1 / 58.0),0.0900722524420356,0.0343157169570674
Alanine (90.0 / 44.0),0.208000724876519,0.0148225910652432
Aminoisobutyrate (104.1 / 86.0),0.384262924052764,0.0207954392899793
Choline (104.1 / 60.0),0.326523662126537,0.00502148132860176
Dimethylglycine (104.1 / 58.0),0.305323575254239,0.0566129923715228
Serine (106.0 / 60.0),0.196520328115337,0.0184345543431369
Creatinine (114.1 / 44.0),0.182216108627213,0.0143121426340262
Proline (116.1 / 70.0),0.183950771629437,0.0265842028620613
Betaine (118.0 / 58.0),0.305724333622896,0.0363204512247736
Valine (118.1 / 72.0),0.269936398171104,0.0173135626947448
Threonine (120.1 / 74.0),0.216286545770502,0.0140367643114346
Niacinamide (123.0 / 80.0),0.137583467678398,0.0679354145777317
Taurine (126.0 / 108.0),0.171563271614631,0.0176342041068177
Creatine (132.1 / 90.0),0.179676939528635,0.0184756919395918
Hydroxyproline/Aminolevulinate (132.1 / 86.2),0.201994909647134,0.0170593132241573
Leucine (132.1 / 86.0),0.103048545322629,0.036598422961124
iso-Leucine (132.1 / 86.0 (2)),0.21165230928707,0.0126905712856063
Ornithine (133.1 / 70.0),0.2194289755627,0.0298032258325289
Asparagine (133.1 / 74.0),0.129897243530619,0.0106247432997017
Aspartic Acid (134.1 / 74.0),0.327539903055812,0.0140877993239079
Glutamine (147.1 / 84.0),0.0473787762553362,0.0166680542749123
Lysine (147.1 / 84.0 (2)),0.237414012628358,0.0082240716178749
Glutamic acid (148.1 / 84.0),0.297736516989043,0.0207179837009247
Methionine (150.1 / 61.0),0.205614570039856,0.00992677008561021
Cystamine (153.0 / 108.0),0.292599583066234,0.0447703026130989
Histidine (156.1 / 110.0),0.14391803558896,0.0200669915158199
Carnitine (163.1 / 85.0),0.438180176394589,0.0208235848323979
Phenylalanine (166.1 / 120.0),0.174975396667044,0.00928407391846317
Arginine (175.1 / 70.0),0.258172712802831,0.0272654098101905
13C-Arginine (181.1 / 74.0),0.283552093214765,0.0272091822080554
Tyrosine (182.1 / 136.0),0.202569396742825,0.0173830990119071
Sorbitol (183.0 / 91.0),0.233656778406455,0.0517553845926037
13C-Tyrosine (184.1 / 138.0),0.22155168946655,0.00740348673235016
Tryptophan (205.1 / 146.0),0.182536763638314,0.0101885453707047
L-Kynurenine (209.1 / 94.0),0.172079763666463,0.0412877489831459
5-Hydroxytryptophan (221.0 / 134.0),0.247246647340927,0.0334292492321071
Cystine (241.1 / 120.0),0.201061046711767,0.0307199579220234
Uridine (245.1 / 113.1),0.534743963631702,0.0250883732449887
1-Methyladenosine (282.0 / 150.1),0.29486958046461,0.0192599675277014
Propionate (73.0 / 55.0),0.170183970422537,0.0517570159683997
Pyruvate (87.0 / 43.0),0.393753845730789,0.0218952923497851
lactate (89.0 / 43.0),0.171286742614756,0.0244630910417311
Oxalic Acid (89.0 / 61.0),0.163294493644321,0.072865863655205
Glyceraldehyde (89.0 / 59.0),0.204466987307936,0.0714707494628663
C13-Lactate (90.0 / 44.0),0.186188633944085,0.00900175095104413
Malonic Acid/3HBA (103.0 / 59.0),0.179753610481737,0.0376357708455501
Glycerate (105.0 / 75.0),0.353510413562808,0.040724848881826
Fumaric Acid/Maleic Acid (115.0 / 71.0),0.159290833856179,0.0424143926347493
N-AcetylGlycine (116.0 / 74.0),0.0611323887131406,0.021020447582615
Guanidinoacetate (116.1 / 70.0),0.443556917038655,0.0792621455792001
Succinate/Methylmalonate (117.0 / 73.0),0.414842636122467,0.0369085673327324
Citraconic Acid (129.0 / 85.0),0.21731079387607,0.0238204312799652
Glutaric Acid/Oxaloacetate (131.0 / 87.0),0.206697078326362,0.0241701562977039
MethylSuccinate (131.0 / 113.0),0.534624470773264,0.0287311076918388
D-Leucic Acid (133.1 / 87.0),0.271130677251231,0.0341136508120736
Hypoxanthine (135.0 / 92.0),0.0541903662781024,0.0242036554797843
Adipic Acid (144.9 / 83.0),0.376423747343634,0.0342456436309408
2-Hydroxyglutarate (147.0 / 129.0),0.421229670322648,0.041199442399301
Oxypurinol (151.0 / 42.0),0.347326217063378,0.0281144693649101
Xanthine (151.0 / 108.0),0.384901338890201,0.045314970038237
