label,none,SERRF,none,SERRF
1_ISTD Ceramide (d18:1/17:0) [M+HCOO]- ,0.313555447,0.032638203,0.334071435,0.053157394
1_ISTD CUDA [M-H]- ,0.156683246,0.046857658,0.23207377,0.027689633
1_ISTD FA (16:0)-d3 [M-H]- ,0.120443324,0.050360997,0.145895251,0.081403552
1_ISTD LPC (17:0) [M+HCOO]- ,0.237554068,0.025240082,0.242724338,0.02782164
1_ISTD LPE (17:1) [M-H]-,0.151555904,0.026793603,0.207279022,0.037430554
1_ISTD PC (12:0/13:0) [M+HCOO]-,0.203297069,0.056911998,0.154742931,0.038180057
1_ISTD PE (17:0/17:0) [M-H]-,0.1768555,0.045697323,0.208066592,0.057848265
1_ISTD PG (17:0/17:0) [M-H]-,0.234013934,0.026863033,0.175239284,0.03990764
1_ISTD SM (d18:1/17:0) [M+HCOO]-,0.313918815,0.029437559,0.335021645,0.032206597
Cer (d32:1) [M+HCOO]-,0.265645369,0.128237166,0.286789591,0.06398545
Cer (d34:0) [M+HCOO]-,0.279455688,0.085718509,0.243999748,0.046295875
Cer (d34:1) [M+HCOO]- ,0.259644461,0.052944875,0.324894989,0.081211028
Cer (d34:2) [M+HCOO]-,0.237619896,0.131512,0.2871412,0.12107298
Cer (d36:1) [M+HCOO]-,0.290437277,0.070284012,0.257530038,0.052578049
Cer (d38:1) [M+HCOO]-,0.221412471,0.079282865,0.227666725,0.105259863
Cer (d39:1) [M+HCOO]-,0.218843423,0.055859234,0.258199817,0.066535191
Cer (d40:1) [M+HCOO]-,0.211377513,0.037956031,0.218855678,0.071602888
Cer (d40:2) [M+HCOO]-,0.20247096,0.076718591,0.281477743,0.153814471
Cer (d41:1) [M+HCOO]-,0.22785971,0.038059133,0.194775559,0.061331264
Cer (d42:1) [M+HCOO]-,0.258197476,0.041377383,0.208491725,0.07323945
Cer (d42:2) A [M+HCOO]- ,0.206282061,0.046247956,0.195293769,0.093360628
Cer (d42:2) B [M+HCOO]-,0.203109788,0.037857389,0.23893738,0.091285162
Cer (d43:1) [M+HCOO]-,0.141747497,0.046342292,0.137730301,0.066213577
Cer (d44:1) [M+HCOO]-,0.268072086,0.087260443,0.200345779,0.091574535
FA (16:0) [M-H]-,0.266047465,0.048673229,0.238098809,0.057586612
FA (16:1) [M-H]-,0.762733233,0.251499632,0.706953365,0.517353582
FA (18:0) [M-H]-,0.174400784,0.059577254,0.262314025,0.137678506
FA (18:1) [M-H]-,0.183169697,0.069141461,0.200564976,0.123444609
FA (18:2) [M-H]-,0.22018729,0.073588444,0.247337215,0.135520876
FA (20:4) [M-H]-,0.148014013,0.096531547,0.227804144,0.31642171
FA (22:4) [M-H]-,0.40747863,0.118589679,0.406687739,0.103345831
