label,none,SERRF
1_ISTD Ceramide (d18:1/17:0) [M+HCOO]- ,0.313555447415995,0.0382816514894732
1_ISTD CUDA [M-H]- ,0.156683246313731,0.0279322730892865
1_ISTD FA (16:0)-d3 [M-H]- ,0.120443324035961,0.0559996161787758
1_ISTD LPC (17:0) [M+HCOO]- ,0.237554067777235,0.0312667001354392
1_ISTD LPE (17:1) [M-H]-,0.151555903715686,0.0336775889036194
1_ISTD PC (12:0/13:0) [M+HCOO]-,0.203297069401391,0.0552129316890392
1_ISTD PE (17:0/17:0) [M-H]-,0.176855499641773,0.0416874552965868
1_ISTD PG (17:0/17:0) [M-H]-,0.234013933848651,0.0335964521019729
1_ISTD SM (d18:1/17:0) [M+HCOO]-,0.313918815152876,0.0305198657595606
Cer (d32:1) [M+HCOO]-,0.265645369033888,0.141567758035048
Cer (d34:0) [M+HCOO]-,0.279455688450059,0.119182339392971
Cer (d34:1) [M+HCOO]- ,0.259644460783311,0.0605197010462529
Cer (d34:2) [M+HCOO]-,0.237619895592205,0.0954198018517589
Cer (d36:1) [M+HCOO]-,0.290437277344504,0.0563938675322416
Cer (d38:1) [M+HCOO]-,0.221412470809001,0.0685512461368021
Cer (d39:1) [M+HCOO]-,0.218843423450574,0.106257344162839
Cer (d40:1) [M+HCOO]-,0.211377513088033,0.0434757659804497
Cer (d40:2) [M+HCOO]-,0.202470959547067,0.0715782828439083
Cer (d41:1) [M+HCOO]-,0.227859709959328,0.0396806077930355
Cer (d42:1) [M+HCOO]-,0.258197476304808,0.0304334706167381
Cer (d42:2) A [M+HCOO]- ,0.206282060792971,0.0611243254030288
Cer (d42:2) B [M+HCOO]-,0.203109787580271,0.0492314378422677
Cer (d43:1) [M+HCOO]-,0.141747496504761,0.0638224293547808
Cer (d44:1) [M+HCOO]-,0.268072086406027,0.0850302994276488
FA (16:0) [M-H]-,0.266047464718322,0.103776707360754
FA (16:1) [M-H]-,0.762733232871831,0.323346917435163
FA (18:0) [M-H]-,0.174400784093051,0.0911564132782835
FA (18:1) [M-H]-,0.183169696898146,0.0951397655399007
FA (18:2) [M-H]-,0.220187289504061,0.103297753180084
FA (20:4) [M-H]-,0.148014012651401,0.112001436702014
FA (22:4) [M-H]-,0.40747862991816,0.121696618091816
GlcCer (d34:1) [M+HCOO]-,0.287291763891425,0.0457304567418755
GlcCer (d38:1) [M+HCOO]-,0.237779639695808,0.0850018563152186
GlcCer (d40:1) [M+HCOO]- ,0.308301746855228,0.0371855646614698
GlcCer (d41:1) [M+HCOO]-,0.303887326926976,0.0537012527712302
GlcCer (d42:1) [M+HCOO]- ,0.321830323075414,0.0477366039860603
GlcCer (d42:2) [M+HCOO]-,0.296791888043033,0.0687223071320134
LPC (14:0) [M+HCOO]-,0.361256503877103,0.0978072986562147
LPC (16:0) [M+HCOO]-,0.303155852089484,0.0353072746599171
LPC (16:1) [M+HCOO]-,0.267171279779792,0.0726867053637883
LPC (18:0) [M+HCOO]-,0.279188536242839,0.030743343994183
LPC (18:1) [M+HCOO]- ,0.271527836282144,0.0353811677296902
LPC (18:2) [M+HCOO]-,0.296165350286539,0.033405163500577
LPC (20:1) [M+HCOO]-,0.304423380069976,0.127731664826096
LPC (20:2) [M+HCOO]-,0.249582947630591,0.0900880770585796
LPC (20:3) [M+HCOO]-,0.268496409193507,0.0705689231111464
LPC (22:5) [M+HCOO]-,0.299522166033827,0.120960636948955
LPE (16:0) [M-H]-,0.237406450956373,0.0605163154891771
LPE (18:2) [M-H]- ,0.239345624802447,0.059320259382691
LPE (20:4) [M-H]-,0.234082118751744,0.0466252068745302
LPE (22:6) [M-H]- ,0.259516334035187,0.0896287596591218
PC (30:0) [M+HCOO]-,0.299588366401749,0.0640217525949342
PC (32:0) [M+HCOO]-,0.241733384616024,0.0358439804754362
PC (32:1) [M+HCOO]-,0.253671163287205,0.0513425509795438
PC (32:2) [M+HCOO]- ,0.2363537821691,0.0538978335155527
PC (33:1) [M+HCOO]- ,0.248501438561984,0.0526208858688802
PC (33:2) [M+HCOO]-,0.236265267373395,0.0632453346244669
PC (34:0) [M+HCOO]-,0.240229373811759,0.0586519522522387
PC (34:1) [M+HCOO]- ,0.269520503736765,0.0206291836380259
PC (34:2) [M+HCOO]- ,0.263343288050725,0.0292088245215804
PC (34:4) [M+HCOO]-,0.224088797344757,0.0657288766633075
PC (35:2) [M+HCOO]- ,0.242466903514054,0.0419506643267885
PC (36:1) [M+HCOO]- ,0.248891702148446,0.0358677892264518
PC (36:2) [M+HCOO]- ,0.265447107543351,0.0265902858574072
PC (36:3) [M+HCOO]-,0.257906760450667,0.0292957188528146
PC (36:4) A [M+HCOO]- ,0.241014630551676,0.0373416510587393
PC (36:4) B [M+HCOO]- ,0.264344257217203,0.0258305970966508
PC (36:5) [M+HCOO]- ,0.23310357429741,0.0470946759348189
PC (37:4) [M+HCOO]-,0.241028899740597,0.0586562949373501
PC (38:2) [M+HCOO]-,0.242170701551431,0.0578663062173251
PC (38:3) [M+HCOO]- ,0.234130707147009,0.0431776498575747
PC (38:4) [M+HCOO]- ,0.275118161779029,0.0238066096296011
PC (38:5) [M+HCOO]- ,0.241254499436193,0.0427940726087461
PC (38:6) [M+HCOO]- ,0.247584074255271,0.0271170387952331
PC (40:4) [M+HCOO]- ,0.230297329274327,0.0465833769332993
PC (40:5) [M+HCOO]- ,0.24687648505773,0.045852357280845
PC (40:6) [M+HCOO]- ,0.231409306947073,0.0322631800359706
PC (40:8) [M+HCOO]-,0.234443796458285,0.0815101549480546
PC (42:4) [M+HCOO]-,0.335558164597123,0.137972970704025
PE (34:1) [M-H]-,0.206593658163802,0.0813489346550522
PE (34:2) [M-H]-,0.176604703647147,0.0674137018260763
PE (36:1) [M-H]-,0.286998807902589,0.0342099553396003
PE (36:2) A [M-H]-,0.266447519839769,0.0260264992036059
PE (36:2) B [M-H]-,0.208024556030277,0.0414876524949289
PE (36:3) [M-H]-,0.217652975395224,0.0619449251606971
PE (36:4) [M-H]-,0.207914842718835,0.0632900415769167
PE (38:2) [M-H]-,0.232241030433439,0.0470534426462967
PE (38:4) A [M-H]-,0.261640922239481,0.0397546365952241
PE (38:4) B [M-H]-,0.128902885879332,0.0354119674456824
PE (38:6) [M-H]-,0.200557282957246,0.0544998561951925
PE (40:6) [M-H]-,0.280204431602038,0.0975514799310281
PE (44:3) [M-H]-,0.268722306935131,0.116998796779637
PI (32:1) [M-H]-,0.271172054508843,0.126597988116978
PI (34:1) [M-H]- ,0.254977734109534,0.0553393222731212
PI (34:2) [M-H]- ,0.202148551671697,0.0414608878896237
PI (36:1) [M-H]- ,0.214865550586123,0.0462952781229637
PI (36:2) [M-H]- ,0.237333401027526,0.0401811658518478
PI (36:3) [M-H]- ,0.230808889436662,0.0771077960443228
PI (36:4) [M-H]-,0.204942184435318,0.0521634379913307
PI (38:3) [M-H]-,0.220791663137779,0.0428179870916437
PI (38:4) [M-H]- ,0.260497167377648,0.0256358647174904
PI (38:5) [M-H]-,0.248959377820628,0.0704329166150378
PI (40:6) [M-H]-,0.241577019023693,0.083068244923279
plasmenyl-PC (32:0) [M+HCOO]-,0.241761183690979,0.0532599257032102
plasmenyl-PC (34:0) [M+HCOO]- ,0.249399913423478,0.048985434143532
plasmenyl-PC (34:1) [M+HCOO]- ,0.249701391535517,0.0395803542388745
plasmenyl-PC (34:2) [M+HCOO]- ,0.239706012896363,0.0433845367936931
plasmenyl-PC (36:0) [M+HCOO]-,0.482831232346611,0.0692928578445651
plasmenyl-PC (36:1) [M+HCOO]-,0.242929579465845,0.0538842389635968
plasmenyl-PC (36:2) [M+HCOO]-,0.260207385262331,0.0929190317075623
plasmenyl-PC (36:3) [M+HCOO]-,0.248893012339977,0.0538847063852835
plasmenyl-PC (36:4) [M+HCOO]- ,0.238531061170503,0.0272802945185023
plasmenyl-PC (38:0) [M+HCOO]-,0.497812874599504,0.0539482364287782
plasmenyl-PC (38:4) [M+HCOO]- ,0.233765317833901,0.0458080658908829
plasmenyl-PC (38:5) [M+HCOO]-,0.239989446645287,0.0947809440872427
plasmenyl-PC (40:1) [M+HCOO]-,0.773456132772226,0.181574092731691
plasmenyl-PC (40:4) [M+HCOO]-,0.253163995976495,0.100307866689225
plasmenyl-PC (42:4) [M+HCOO]-,0.255558332027397,0.0902888430796597
