label,batch,sampleType,time,sample_index
QC000,A,qc,1,1
sample01,A,validate,2,2
GB001617,A,sample,3,3
GB001333,A,sample,4,4
GB001191,A,sample,5,5
GB001827,A,sample,6,6
GB001722,A,sample,7,7
GB001468,A,sample,8,8
GB001543,A,sample,9,9
GB001347,A,sample,10,10
GB001762,A,sample,11,11
GB001719,A,sample,12,12
QC001,A,qc,13,13
GB001531,A,sample,14,14
GB001540,A,sample,15,15
GB001341,A,sample,16,16
GB001588,A,sample,17,17
GB001301,A,sample,18,18
GB001234,A,sample,19,19
GB001283,A,sample,20,20
GB001126,A,sample,21,21
GB001052,A,sample,22,22
GB001630,A,sample,23,23
QC002,A,qc,24,24
GB001131,A,sample,25,25
GB001684,A,sample,26,26
GB001235,A,sample,27,27
GB001705,A,sample,28,28
GB001648,A,sample,29,29
GB001773,A,sample,30,30
GB001137,A,sample,31,31
GB001625,A,sample,32,32
GB001519,A,sample,33,33
GB001098,A,sample,34,34
QC003,A,qc,35,35
GB001317,A,sample,36,36
GB001127,A,sample,37,37
GB001431,A,sample,38,38
GB001130,A,sample,39,39
GB001774,A,sample,40,40
GB001491,A,sample,41,41
GB001675,A,sample,42,42
GB001091,A,sample,43,43
GB001671,A,sample,44,44
GB001071,A,sample,45,45
QC004,A,qc,46,46
GB001548,A,sample,47,47
GB001291,A,sample,48,48
GB001419,A,sample,49,49
GB001545,A,sample,50,50
GB001285,A,sample,51,51
GB001750,A,sample,52,52
GB001823,A,sample,53,53
GB001739,A,sample,54,54
GB001292,A,sample,55,55
GB001059,A,sample,56,56
QC005,A,qc,57,57
GB001689,A,sample,58,58
GB001829,A,sample,59,59
GB001634,A,sample,60,60
GB001389,A,sample,61,61
GB002470,A,sample,62,62
GB002086,A,sample,63,63
GB002053,A,sample,64,64
GB001997,A,sample,65,65
GB002075,A,sample,66,66
GB001851,A,sample,67,67
QC006,A,qc,68,68
GB002146,A,sample,69,69
GB002198,A,sample,70,70
GB001922,A,sample,71,71
